year,gaia_year_threshold,built_ratio_threshold,built_grids,ecological_grids,total_grids,built_share,ecological_share,mean_built_ratio,median_built_ratio
2000,16,0.05,8954,10773,19727,0.45389567597708724,0.5461043240229128,0.11959491183805339,0.03333333333333333
2005,21,0.05,10443,9284,19727,0.5293759821564353,0.47062401784356467,0.1816678028121916,0.06611570247933884
2010,26,0.05,11753,7974,19727,0.5957824301718457,0.4042175698281543,0.26218331527547706,0.13953488372093023
2015,31,0.05,12502,7225,19727,0.6337506970142445,0.3662493029857556,0.3596760788144239,0.2421875
2020,36,0.05,12859,6868,19727,0.65184772139707,0.34815227860293,0.4263257016525052,0.3488372093023256
