grid_id,mlp_pred5_2000,mlp_pred5_2005,mlp_pred5_2010,mlp_pred5_2015,mlp_pred5_2020,class_2000,class_2005,class_2010,class_2015,class_2020,LST_2000,LST_2005,LST_2010,LST_2015,LST_2020
0,green_space,production,living,green_space,living,green_space,production,living,green_space,living,33.59000000000003,35.410000000000025,35.85000000000002,36.450000000000045,35.07000000000005
1,farmland,water,green_space,living,living,farmland,water,green_space,living,living,33.17666666666668,35.53666666666675,35.6733333333334,35.85000000000008,35.376666666666665
2,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,26.57000000000005,27.30400000000003,27.156666666666695,26.866666666666674,26.850000000000023
3,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,25.890000000000043,27.31000000000006,26.77000000000004,27.33000000000004,27.05000000000001
4,farmland,farmland,living,living,living,farmland,farmland,living,living,living,30.890000000000043,32.47000000000003,32.09000000000003,35.24000000000001,33.99000000000001
5,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,31.230000000000018,30.800000000000068,29.750000000000057,30.00999999999999,30.810000000000002
6,green_space,green_space,green_space,green_space,living,green_space,green_space,green_space,green_space,living,33.79000000000002,33.370000000000005,32.57000000000005,33.75000000000006,34.210000000000036
7,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,26.950000000000045,28.310000000000002,29.310000000000002,27.620000000000005,28.190000000000055
8,green_space,farmland,living,living,living,green_space,farmland,living,living,living,33.74000000000001,35.63000000000005,36.879999999999995,36.85000000000002,37.610000000000014
9,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,31.458965517241438,32.02862068965521,31.94517241379316,32.312068965517255,31.81034482758622
10,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,29.190000000000055,29.410000000000025,29.150000000000034,29.850000000000023,29.79000000000002
11,farmland,farmland,production,production,production,farmland,farmland,production,production,production,34.13090909090914,32.10090909090911,34.416363636363656,35.17727272727274,36.957272727272766
12,green_space,water,water,production,green_space,green_space,water,water,production,green_space,31.400000000000034,30.610000000000014,31.83000000000004,31.650000000000034,30.970000000000027
13,farmland,farmland,green_space,living,living,farmland,farmland,green_space,living,living,30.79000000000002,30.460000000000036,31.5,34.690000000000055,32.43000000000001
14,living,living,living,living,living,living,living,living,living,living,33.23000000000002,35.55000000000001,37.59000000000003,37.670000000000016,36.49000000000001
15,water,water,water,water,green_space,water,water,water,water,green_space,31.073000000000036,31.640000000000043,32.64699999999999,31.423000000000002,31.425000000000068
16,green_space,living,living,production,production,green_space,living,living,production,production,33.00200000000001,35.023000000000025,35.958000000000084,36.33299999999997,39.563000000000045
