stage,source_class,target_class,conversion,n_grids,LST_2000_mean,LST_2005_mean,dLST_mean,dLST_ci_lo,dLST_ci_hi,LST_2010_mean,LST_2015_mean,LST_2020_mean
2010_2015,water,farmland,water_to_farmland,61,,,0.611,0.433,0.778,32.414,33.025,
2010_2015,water,green_space,water_to_green_space,287,,,0.453,0.36,0.55,32.323,32.775,
2010_2015,water,living,water_to_living,169,,,0.479,0.353,0.608,34.271,34.75,
2010_2015,water,production,water_to_production,40,,,0.464,0.179,0.758,34.741,35.205,
2010_2015,water,water,water_stable,599,,,0.387,0.326,0.457,31.9,32.288,
2015_2020,farmland,farmland,farmland_stable,68,,,0.562,0.313,0.793,,34.056,34.619
2015_2020,farmland,green_space,farmland_to_green_space,87,,,-0.206,-0.402,-0.014,,33.567,33.361
2015_2020,farmland,living,farmland_to_living,110,,,0.114,-0.079,0.295,,34.75,34.865
2015_2020,farmland,production,farmland_to_production,34,,,0.821,0.457,1.216,,34.791,35.612
2015_2020,green_space,farmland,green_space_to_farmland,45,,,0.175,-0.133,0.467,,33.643,33.818
2015_2020,green_space,green_space,green_space_stable,8068,,,-0.065,-0.082,-0.048,,30.856,30.791
2015_2020,green_space,living,green_space_to_living,1143,,,0.005,-0.048,0.063,,33.752,33.757
2015_2020,green_space,production,green_space_to_production,269,,,0.275,0.16,0.398,,34.191,34.467
2015_2020,green_space,water,green_space_to_water,42,,,-0.171,-0.383,0.05,,31.436,31.266
2015_2020,living,green_space,living_to_green_space,279,,,0.026,-0.103,0.16,,34.249,34.275
2015_2020,living,living,living_stable,4010,,,0.093,0.058,0.127,,35.389,35.482
2015_2020,living,production,living_to_production,763,,,0.196,0.127,0.267,,35.87,36.066
2015_2020,production,green_space,production_to_green_space,187,,,0.325,0.179,0.48,,34.933,35.259
2015_2020,production,living,production_to_living,1084,,,0.272,0.21,0.336,,35.667,35.939
2015_2020,production,production,production_stable,1389,,,0.315,0.26,0.373,,35.857,36.173
2015_2020,water,farmland,water_to_farmland,49,,,-0.075,-0.364,0.232,,32.688,32.613
2015_2020,water,green_space,water_to_green_space,371,,,-0.218,-0.317,-0.129,,32.275,32.057
2015_2020,water,living,water_to_living,144,,,-0.418,-0.597,-0.248,,34.283,33.865
2015_2020,water,water,water_stable,278,,,-0.223,-0.304,-0.142,,31.969,31.746
