category,count,percent
总格网数,19727,100.0
PLES_low_density,11807,59.85
PLES_living,6496,32.93
PLES_production,1424,7.22
sub_low_density,11807,59.85
sub_commercial_dominated_mixed,1428,7.24
sub_multi_functional_mixed,1138,5.77
sub_public_service_dominated_mixed,1020,5.17
sub_industrial,855,4.33
sub_commercial,829,4.2
sub_residential_dominated_mixed,732,3.71
sub_public_service,723,3.67
sub_residential,626,3.17
sub_industrial_dominated_mixed,569,2.88
