year,n_compared_grids,accuracy,macro_precision,macro_recall,macro_f1,ecological_precision,ecological_recall,ecological_f1,ecological_support_tculu,living_precision,living_recall,living_f1,living_support_tculu,production_precision,production_recall,production_f1,production_support_tculu
2000,13212,0.3673932788374205,0.3091476458439468,0.2684903971936859,0.28006872517693376,0.5174500422178441,0.4375297477391718,0.4741457124435848,8404,0.19181107713217804,0.2583524027459954,0.22016380655226206,4370,0.21818181818181817,0.1095890410958904,0.1458966565349544,438
2005,13208,0.43261659600242275,0.4514147458883681,0.4109683033318663,0.4197096816545299,0.5370511841100076,0.40489560835133187,0.4617026516706346,6945,0.35038363171355497,0.49969604863221884,0.4119268353796041,4935,0.4668094218415418,0.32831325301204817,0.38549955791335094,1328
2010,13230,0.5306122448979592,0.5396099724424648,0.48193628864360577,0.48187387573806273,0.7050279329608938,0.3997465948685461,0.5102082069941378,6314,0.46823746823746826,0.7424908424908425,0.5743023091089391,5460,0.44556451612903225,0.30357142857142855,0.36111111111111105,1456
2015,13232,0.5653718258766627,0.607179948242799,0.5333199244453196,0.5323417251820778,0.8637759017651573,0.4076421586381746,0.5538877952755905,5522,0.49971287469851844,0.7800286841161707,0.6091704585229261,5578,0.4580510682647212,0.41228893058161353,0.4339669217477166,2132
2020,13232,0.5835096735187424,0.6451305937647699,0.5604722417238017,0.5534591213798618,0.9615558570782451,0.39465379617597923,0.5596209528823375,5387,0.5229812233613639,0.7990144315381907,0.6321799067047275,5682,0.45085470085470086,0.4877484974572353,0.46857650455252053,2163
