year,gaia_year_threshold,built_ratio_threshold,built_grids,ecological_grids,total_grids,built_share,ecological_share,mean_built_ratio,median_built_ratio
2000,16,0.1,6848,12879,19727,0.34713843970193137,0.6528615602980686,0.11959491183805339,0.03333333333333333
2005,21,0.1,8809,10918,19727,0.4465453439448472,0.5534546560551529,0.1816678028121916,0.06611570247933884
2010,26,0.1,10623,9104,19727,0.538500532265423,0.46149946773457695,0.26218331527547706,0.13953488372093023
2015,31,0.1,11677,8050,19727,0.5919298423480509,0.4080701576519491,0.3596760788144239,0.2421875
2020,36,0.1,12185,7542,19727,0.6176813504334161,0.38231864956658385,0.4263257016525052,0.3488372093023256
