year,class,n
2000,ecological,10768
2000,living,8500
2000,production,452
2000,,7
2005,living,9316
2005,ecological,9280
2005,production,1127
2005,,4
2010,living,10651
2010,ecological,7970
2010,production,1102
2010,,4
2015,living,10523
2015,ecological,7221
2015,production,1979
2015,,4
2020,living,10480
2020,ecological,6763
2020,production,2379
2020,,105
