year,class,n
2000,ecological,12874
2000,living,6587
2000,production,259
2000,,7
2005,ecological,10914
2005,living,7785
2005,production,1024
2005,,4
2010,living,9557
2010,ecological,9100
2010,production,1066
2010,,4
2015,living,9719
2015,ecological,8046
2015,production,1958
2015,,4
2020,living,9812
2020,ecological,7437
2020,production,2373
2020,,105
