year,class,TCULU_5class,joint_mlp,joint_rf,joint_mlp_minus_TCULU,joint_mlp_ratio_to_TCULU,joint_rf_minus_TCULU,joint_rf_ratio_to_TCULU
2000,farmland,201.63297353,319.26294313369635,403.1455086706288,117.62996960369637,1.5833865738541755,201.51253514062878,1.9994026850506508
2000,green_space,532.0086603,1247.0604266929558,1177.439691292913,715.0517663929559,2.3440603880202584,645.4310309929131,2.2131964743373804
2000,living,382.60283378099996,132.31498104817587,140.62999972649374,-250.2878527328241,0.34582854429121224,-241.97283405450622,0.3675613124365662
2000,production,37.76522676,18.927861095085753,9.353074499994086,-18.837365664914245,0.5011981316932983,-28.41215226000591,0.2476636658223547
2000,water,69.11759003,247.42171154896243,234.4196493288464,178.30412151896243,3.5797213334777847,165.3020592988464,3.3916062355052916
2005,farmland,129.30969939,196.67238911933256,224.93891847679924,67.36268972933257,1.5209407341220837,95.62921908679925,1.7395363189143307
2005,green_space,474.5177167,1126.8097476551495,1113.3270028663956,652.2920309551496,2.374642100808097,638.8092861663956,2.3462285256890927
2005,living,412.81751644,303.61698244772845,352.95131928595873,-109.20053399227157,0.7354750473429994,-59.86619715404129,0.8549814511983229
2005,production,109.1571059,117.0410044629224,85.38844172352148,7.883898562922397,1.0722252435873934,-23.768664176478524,0.7822527083280015
2005,water,48.96647954,221.1595689837453,188.6940103162031,172.1930894437453,4.516550323024208,139.7275307762031,3.853534337955861
2010,farmland,63.076102625999994,97.30861635503142,114.63684310789075,34.232513729031425,1.5427176427181595,51.56074048189076,1.8174370060181462
2010,green_space,450.6809715,1062.650922301225,1030.08130152588,611.969950801225,2.3578783873754583,579.4003300258801,2.285610812671908
2010,living,430.92043570699997,450.0840210456438,557.2934771609188,19.163585338643827,1.0444712846054809,126.3730414539188,1.293263050397185
2010,production,119.7769796,186.3070840036735,111.59900966616898,66.5301044036735,1.555449842080285,-8.177969933831022,0.9317233581850062
2010,water,55.43104525,168.9490489633045,151.68906120801967,113.51800371330451,3.0479138216017048,96.25801595801967,2.7365361869668097
2015,farmland,20.728698197,39.5830994843499,45.420312837030174,18.8544012873499,1.909579613160591,24.691614640030174,2.19118018919315
2015,green_space,417.2265997,987.5177316731114,1013.552868968597,570.2911319731113,2.3668618740587726,596.3262692685969,2.429262347360824
2015,living,423.51629199,532.3918423473131,604.1381678166821,108.87555035731305,1.2570752351597463,180.62187582668207,1.426481529147282
2015,production,169.0398794,278.4831780674871,182.29358553597345,109.44329866748708,1.647440704855869,13.25370613597346,1.0784057950290602
2015,water,62.77040377,127.32384109661682,119.89475751059548,64.55343732661682,2.028405641027101,57.12435374059548,1.910052354448882
2020,farmland,29.941864864000003,21.86751975699176,26.861450894443273,-8.074345107008241,0.7303325913839032,-3.08041396955673,0.8971201699176592
2020,green_space,432.9831062,942.4848409218564,934.8284811676388,509.5017347218564,2.1767242819088457,501.84537496763875,2.15904146785771
2020,living,421.75723372000004,681.5286423967535,718.827371944731,259.7714086767535,1.6159263858630408,297.07013822473095,1.7043628762558523
2020,production,168.3282545,258.1950698995857,231.34939731947017,89.86681539958568,1.5338783774983282,63.02114281947016,1.3743943226089246
2020,water,21.4398935,57.67402039290138,49.883392041805465,36.234126892901386,2.690032970215145,28.443498541805464,2.3266623055662783
