year,tculu_production,tculu_living,tculu_built_no_transport,tculu_built_with_transport,tculu_natural_5class,joint_mlp_built_prod_living,joint_rf_built_prod_living,official_built_up,official_commercial,official_industrial,official_industrial_land_supply,official_residential,joint_mlp_built_prod_living_minus_official_built_up,joint_mlp_built_prod_living_ratio_to_official_built_up,joint_rf_built_prod_living_minus_official_built_up,joint_rf_built_prod_living_ratio_to_official_built_up,tculu_built_no_transport_minus_official_built_up,tculu_built_no_transport_ratio_to_official_built_up,tculu_built_with_transport_minus_official_built_up,tculu_built_with_transport_ratio_to_official_built_up
2000,37.76522676,382.60283378099996,420.368060541,525.163268441,802.7592238599999,151.2428421432616,149.98307422648782,136.0,,,,,15.242842143261612,1.1120797216416296,13.983074226487815,1.102816722253587,284.368060541,3.090941621625,389.163268441,3.861494620889706
2005,109.1571059,412.81751644,521.97462234,675.12859654,652.79389563,420.65798691065083,438.3397610094802,713.0,,,,,-292.34201308934917,0.5899831513473364,-274.6602389905198,0.6147822735055823,-191.02537766,0.7320822192706873,-37.87140346000001,0.9468844271248247
2010,119.7769796,430.92043570699997,550.697415307,758.734372707,569.188119376,636.3911050493173,668.8924868270877,813.0,,296.21,0.624,213.99,-176.60889495068272,0.7827688868995293,-144.10751317291226,0.8227459862571805,-262.302584693,0.6773645944735548,-54.265627292999966,0.9332526109557197
2015,169.0398794,423.51629198999996,592.5561713899999,827.1967904899999,500.725701667,810.8750204148001,786.4317533526555,900.0,50.69,316.11,1.3671,242.21,-89.12497958519987,0.9009722449053335,-113.5682466473445,0.8738130592807284,-307.4438286100001,0.6583957459888888,-72.8032095100001,0.9191075449888888
2020,168.3282545,421.75723372000004,590.0854882200001,843.5576276200002,484.36486456399996,939.7237122963393,950.1767692642012,955.68,60.65,273.42,,227.48,-15.956287703660678,0.9833037337773516,-5.503230735798752,0.9942415549809572,-365.59451177999983,0.6174509126695129,-112.12237237999977,0.8826779127113681
