mlp_pred5_2005,farmland,green_space,living,production,water,
farmland,438,487,637,288,98,0
green_space,256,9406,893,426,230,0
living,96,272,2099,469,22,0
production,31,79,419,602,8,0
water,152,351,329,39,1596,0
,0,0,0,0,0,4
