rf_pred5_2010,farmland,green_space,living,production,water,
farmland,336,279,375,124,47,0
green_space,40,9308,695,145,75,0
living,23,262,4382,741,19,0
production,0,25,306,763,0,0
water,82,324,124,14,1234,0
,0,0,0,0,0,4
