rf_pred5_2000,farmland,green_space,living,production,water,
farmland,1569,772,1181,339,102,0
green_space,475,10038,763,231,177,0
living,56,72,1100,123,18,0
production,1,2,39,47,1,0
water,134,177,357,90,1856,0
,0,2,1,0,0,4
