mlp_pred5_2000,farmland,green_space,living,production,water,
farmland,976,748,854,419,148,0
green_space,729,9967,835,359,484,0
living,97,157,831,169,30,0
production,11,8,83,77,5,0
water,135,331,353,115,1799,0
,0,0,2,0,1,4
