,precision,recall,f1-score,support
farmland,0.6444444444444445,0.5587155963302752,0.5985257985257986,1090.0
green_space,0.8795441431044432,0.901123263375702,0.8902029493356695,6766.0
living,0.7834683509542771,0.867568800364908,0.8233766233766234,6577.0
production,0.6294681778552746,0.3993362831858407,0.488663282571912,1808.0
water,0.7669039145907474,0.6863057324840764,0.7243697478991596,628.0
accuracy,0.8041377675025194,0.8041377675025194,0.8041377675025194,0.8041377675025194
macro avg,0.7407658061898373,0.6826099351481605,0.7050276803418326,16869.0
weighted avg,0.795898131770746,0.8041377675025194,0.7960911579890333,16869.0
