model,year,class,n_grids,area_km2,mean_confidence,gaia_adjusted_n,area_share_percent
mlp,2000,farmland,3145,319.26294313369635,0.9385393457633531,1161,16.245000392184295
mlp,2000,green_space,12374,1247.0604266929558,0.9818866922999392,1776,63.45395717354212
mlp,2000,living,1284,132.31498104817587,0.9424158851823478,0,6.732559995600103
mlp,2000,missing,7,0.3117713170707806,,0,0.015863805295955415
mlp,2000,production,184,18.927861095085753,0.9323001731877545,0,0.9631030394407989
mlp,2000,water,2733,247.42171154896243,0.9778172414196085,699,12.589515593936726
mlp,2005,farmland,1948,196.67238911933254,0.9288208137055691,656,10.00724671336957
mlp,2005,green_space,11211,1126.8097476551497,0.9807213614454062,1461,57.33526294315177
mlp,2005,living,2958,303.61698244772845,0.9408570119893646,0,15.448889716185132
mlp,2005,missing,4,2.167068884159513e-06,,0,1.1026658630506775e-07
mlp,2005,production,1139,117.04100446292239,0.9164059338936207,0,5.9553769214161685
mlp,2005,water,2467,221.15956898374526,0.977717286403189,623,11.253223595610768
mlp,2010,farmland,973,97.30861635503142,0.9163310610887886,268,4.951337274957153
mlp,2010,green_space,10595,1062.650922301225,0.9828472313223684,879,54.070680674986285
mlp,2010,living,4377,450.0840210456438,0.9535056618015127,0,22.901546376274915
mlp,2010,missing,4,2.167068884159513e-06,,0,1.1026658630506777e-07
mlp,2010,production,1824,186.30708400367354,0.911731200112698,0,9.479830709444316
mlp,2010,water,1954,168.94904896330453,0.9764695392719255,288,8.596604854070744
mlp,2015,farmland,412,39.5830994843499,0.9373981470359278,118,2.014099915059219
mlp,2015,green_space,9917,987.5177316731114,0.9875243087525671,450,50.24769170157247
mlp,2015,living,5172,532.3918423473131,0.9740689016890915,0,27.08960082506675
mlp,2015,missing,4,2.167068884159513e-06,,0,1.1026658630506777e-07
mlp,2015,production,2738,278.4831780674871,0.9552713015827721,0,14.170010752010695
mlp,2015,water,1484,127.32384109661682,0.9661798391417205,149,6.478596696024274
mlp,2020,farmland,221,21.867519756991758,0.9643217270314881,33,1.1126811760288369
mlp,2020,green_space,9514,942.4848409218564,0.9881732478313279,816,47.95629101242648
mlp,2020,living,6624,681.5286423967535,0.985407306344494,0,34.67810248928187
mlp,2020,missing,105,3.5496014678582632,,0,0.180613749505241
mlp,2020,production,2540,258.1950698995857,0.9749507267778713,0,13.13769449911498
mlp,2020,water,723,57.67402039290138,0.9844853476726745,157,2.934617073642588
