rf_pred5_2000,farmland,green_space,living,production,water,
farmland,130,305,2575,952,1,0
green_space,28,8352,2456,833,15,0
living,0,46,1069,253,1,0
production,0,2,59,29,0,0
water,131,738,844,199,601,101
,0,0,3,0,0,4
