rf_pred5_2015,farmland,green_space,living,production,water,
farmland,114,177,141,30,2,17
green_space,60,8631,1195,226,38,48
living,1,123,4938,820,0,0
production,2,26,579,1180,0,0
water,112,486,153,10,578,36
,0,0,0,0,0,4
