,precision,recall,f1-score,support
farmland,0.5228480340063762,0.45137614678899085,0.4844903988183161,1090.0
green_space,0.8393665158371041,0.8773278155483298,0.8579274461627403,6766.0
living,0.7983479105928085,0.7494298312300441,0.7731158340522312,6577.0
production,0.45768321513002364,0.5353982300884956,0.4934998725465205,1808.0
water,0.6649029982363316,0.6003184713375797,0.6309623430962343,628.0
accuracy,0.7529788369197937,0.7529788369197937,0.7529788369197937,0.7529788369197937
macro avg,0.6566297347605288,0.6427700989986881,0.6479991789352084,16869.0
weighted avg,0.7555185693898391,0.7529788369197937,0.7532222773750152,16869.0
