model,n_train,n_test,accuracy,f1_macro,f1_weighted,production_f1,production_precision,production_recall
rf,39359,16869,0.8041377675025194,0.7050276803418326,0.7960911579890333,0.488663282571912,0.6294681778552746,0.3993362831858407
mlp,39359,16869,0.7529788369197937,0.6479991789352084,0.7532222773750152,0.4934998725465205,0.45768321513002364,0.5353982300884956
