mlp_pred5_2000,farmland,green_space,living,production,water,
farmland,108,382,1817,820,18,0
green_space,47,8272,2840,1147,68,0
living,4,97,946,235,2,0
production,0,9,121,54,0,0
water,62,753,898,284,635,101
,0,1,2,0,0,4
