mlp_pred5_2010,farmland,green_space,living,production,water,
farmland,174,269,271,199,60,0
green_space,84,8850,1027,444,190,0
living,27,276,3012,1007,55,0
production,7,110,663,1037,7,0
water,120,412,199,51,1172,0
,0,0,0,0,0,4
