year,bare_land,commercial,farmland,green_space,industrial,institutional,residential,transport,water
2000,16.471555025729945,0.28993072416197263,185.1614184518987,532.0086602524282,37.76522675694716,3.365039856628038,378.9478631832414,104.79520786600293,69.11759002563646
2005,20.60986099242697,2.8774284904329033,108.69983835015792,474.51771668724143,109.15710593723855,7.1680411500292625,402.7720467687559,153.15397422534608,48.96647954104577
2010,3.7473356557430004,8.023045507477242,59.32876696659161,450.6809715362239,119.77697961471652,30.460699500253977,392.43669071817186,208.03695739409685,55.43104524939982
2015,1.2754618074906925,32.111291983937825,19.45323639085032,417.2265997122214,169.03987936411392,46.368781112479326,345.03621889520036,234.64061910537163,62.77040377100931
2020,1.6411124540700481,52.032865345282836,28.300752412075973,432.98310615456427,168.32825454120325,56.44552047121494,313.2788478637168,253.47213939693626,21.439893503610428
2024,0.41976966380722525,61.872494598175436,27.807276805889266,428.06719685733924,159.11397317306975,72.0400929711275,288.64689104440697,263.2907000543794,26.66409697448001
