tculu_production_weight,model,accuracy,f1_macro,f1_weighted,production_precision,production_recall,production_f1,production_support,living_precision,living_recall,living_f1,living_support,green_space_precision,green_space_recall,green_space_f1,green_space_support,water_precision,water_recall,water_f1,water_support,farmland_precision,farmland_recall,farmland_f1,farmland_support
1.0,rf,0.7601308834633778,0.6381473742107902,0.7457120237007782,0.6028985507246377,0.325,0.4223350253807106,640.0,0.741733690795353,0.8618899273104881,0.7973102785782901,1926.0,0.8427914110429447,0.8421455938697318,0.8424683786891529,1305.0,0.6,0.574468085106383,0.5869565217391305,47.0,0.6341463414634146,0.4727272727272727,0.5416666666666666,55.0
1.0,mlp,0.7573621948150012,0.6306225872666795,0.7513840781751961,0.5770020533880903,0.4390625,0.4986690328305235,640.0,0.7518450184501845,0.8463136033229491,0.7962872496336102,1926.0,0.8522727272727273,0.8045977011494253,0.8277493102089082,1305.0,0.6388888888888888,0.4893617021276595,0.5542168674698795,47.0,0.5,0.4545454545454545,0.4761904761904761,55.0
1.2,rf,0.7648539778449144,0.678115295746284,0.7555263233873744,0.6241457858769932,0.4077380952380952,0.4932493249324932,672.0,0.7447988904299584,0.8496835443037974,0.7937915742793792,1896.0,0.8489542989930287,0.8417818740399385,0.8453528731199383,1302.0,0.6888888888888889,0.6595744680851063,0.6739130434782609,47.0,0.7647058823529411,0.4727272727272727,0.5842696629213483,55.0
1.2,mlp,0.7583081570996979,0.6336415294813331,0.7493687749096383,0.6247240618101545,0.4211309523809524,0.5031111111111111,672.0,0.7332147621164962,0.8697257383966245,0.7956574185765983,1896.0,0.8625,0.7949308755760369,0.8273381294964028,1302.0,0.6190476190476191,0.5531914893617021,0.5842696629213483,47.0,0.6785714285714286,0.3454545454545454,0.4578313253012048,55.0
1.5,rf,0.7677403120281832,0.6859738019441648,0.760092676045851,0.6557377049180327,0.4551920341394025,0.5373635600335852,703.0,0.749406739439962,0.8448368111289459,0.7942655935613682,1869.0,0.8399693721286371,0.8438461538461538,0.841903300076746,1300.0,0.6904761904761905,0.6170212765957447,0.651685393258427,47.0,0.8387096774193549,0.4727272727272727,0.6046511627906976,55.0
1.5,mlp,0.7657272269753397,0.6343470299157792,0.7616522441678376,0.6166394779771615,0.5376955903271693,0.574468085106383,703.0,0.7592954990215264,0.8303905831995719,0.7932532583695374,1869.0,0.852498017446471,0.8269230769230769,0.8395158141351035,1300.0,0.6785714285714286,0.4042553191489361,0.5066666666666667,47.0,0.6785714285714286,0.3454545454545454,0.4578313253012048,55.0
