year,class,n_grids,area_km2,mean_final_prob,mean_uncertainty,median_uncertainty,p90_uncertainty,gaia_adjusted_pct
2000,farmland,3145,319.26294313369635,0.5929984371107501,0.4070015628892498,0.11468256166272461,0.9999999980298842,36.91573926868045
2000,green_space,12374,1247.0604266929558,0.8455741081714626,0.15442589182853744,2.2328725535203375e-09,0.9999898708804138,14.352674963633424
2000,living,1284,132.31498104817587,0.9424158851823478,0.057584114817652195,0.0010158882426750115,0.23667849362341148,0.0
2000,missing,0,0.0,,,,,0.0
2000,production,184,18.927861095085753,0.9323001731877545,0.06769982681224543,0.0034199436293436136,0.24438054093510733,0.0
2000,water,2733,247.42171154896243,0.7306274046523089,0.269372595347691,1.4301350192980067e-06,0.9999999998126023,25.57628979143798
2005,farmland,1948,196.67238911933254,0.6046881849906696,0.3953118150093304,0.1337713751689873,0.9999999999967971,33.67556468172484
2005,green_space,11211,1126.8097476551497,0.8563770039798657,0.14362299602013426,1.0357092961044145e-09,0.9999988345852774,13.031843724913031
2005,living,2958,303.61698244772845,0.9408570119893646,0.059142988010635375,0.0015605946388005942,0.23787088165935352,0.0
2005,missing,0,0.0,,,,,0.0
2005,production,1139,117.04100446292239,0.9164059338936207,0.08359406610637947,0.009671359497523069,0.31295221545379537,0.0
2005,water,2467,221.15956898374526,0.7313659555716429,0.26863404442835703,1.6643749801703578e-06,0.9999999999961193,25.25334414268342
2010,farmland,973,97.30861635503142,0.6557530562840654,0.34424694371593473,0.10019944963434213,0.9999999993471628,27.543679342240495
2010,green_space,10595,1062.650922301225,0.9041756733559155,0.09582432664408459,3.3009150968155154e-12,0.30474413430153185,8.29636621047664
2010,living,4377,450.0840210456438,0.9535056618015127,0.04649433819848721,0.0006041584528213573,0.1815192809730383,0.0
2010,missing,0,0.0,,,,,0.0
2010,production,1824,186.30708400367354,0.911731200112698,0.08826879988730195,0.009485485699042784,0.3407508583709587,0.0
2010,water,1954,168.94904896330453,0.8340072075983486,0.16599279240165143,3.118490066178481e-08,0.99999607397516,14.73899692937564
2015,farmland,412,39.5830994843499,0.6596971966698398,0.3403028033301601,0.06002605462779892,0.9999999999999222,28.640776699029125
2015,green_space,9917,987.5177316731114,0.9444696537757082,0.055530346224291656,2.353672812205332e-14,0.02857735959373907,4.5376625995764845
2015,living,5172,532.3918423473131,0.9740689016890915,0.025931098310908476,4.591035254408737e-06,0.06987588308779262,0.0
2015,missing,0,0.0,,,,,0.0
2015,production,2738,278.4831780674871,0.9552713015827721,0.04472869841722791,0.00027744652339811715,0.1805911211375256,0.0
2015,water,1484,127.32384109661682,0.8747201074949589,0.12527989250504115,7.132876946314148e-06,0.5334791618350524,10.040431266846362
2020,farmland,221,21.867519756991758,0.8240309602087895,0.17596903979121054,0.000900832238766136,0.9997716550379829,14.93212669683258
2020,green_space,9514,942.4848409218564,0.9069149791142347,0.09308502088576537,6.393133800131068e-10,0.245741694410379,8.576834139163338
2020,living,6624,681.5286423967535,0.985407306344494,0.014592693655506046,1.0131320654638287e-07,0.012473195783717028,0.0
2020,missing,0,0.0,,,,,0.0
2020,production,2540,258.1950698995857,0.9749507267778713,0.02504927322212877,2.8942495576944616e-05,0.05081633141650387,0.0
2020,water,723,57.67402039290138,0.7732851915169503,0.2267148084830497,7.512399115006119e-07,0.9999999999999981,21.715076071922546
