year,n_grids,area_km2,mean_final_prob,mean_uncertainty,median_uncertainty,p75_uncertainty,p90_uncertainty,high_uncertainty_gt_0p2_pct,high_uncertainty_gt_0p3_pct,gaia_adjusted_pct
2000,19720,1964.9879235188762,0.796476877514322,0.20352312248567805,7.453186488093344e-06,0.10557086312719541,0.9999996969054912,22.922897551579055,21.32610128250621,18.431591220155116
2005,19723,1965.2996926688784,0.8320182725013799,0.16798172749862006,3.1522326499611175e-05,0.06709996467490631,0.9999995280253073,19.921934404623105,17.630658488366198,13.88959294368125
2010,19723,1965.2996926688784,0.8966146659903805,0.10338533400961948,4.667901563504273e-06,0.016078047567716802,0.35865016232913105,13.544887717341714,11.299234551629747,7.274294114665179
2015,19723,1965.2996926688784,0.9425342303054203,0.05746576969457974,3.872939102755879e-08,0.001328990097953342,0.11020300372629094,7.938358594819284,6.341562325746438,3.634612460080093
2020,19622,1961.7500933680888,0.9363621440325883,0.06363785596741175,5.202033448448162e-08,0.0003515688943281081,0.07239295451309163,7.649414508034673,6.691336746590967,5.099609672023115
