year,n_grids,area_km2,mean_final_prob,mean_uncertainty,median_uncertainty,p75_uncertainty,p90_uncertainty,high_uncertainty_gt_0p2_pct,high_uncertainty_gt_0p3_pct,gaia_adjusted_pct
2000,19720,1964.9879235188762,0.6773078581463197,0.3226921418536804,0.18055555555555558,0.5688073394495412,0.9411764705882353,46.991433061286564,42.555887869417546,18.431591220155116
2005,19723,1965.2996926688784,0.6810866013482789,0.3189133986517211,0.19698870765370136,0.5528455284552846,0.9411764705882353,48.2942160490698,44.314898362650176,13.88959294368125
2010,19723,1965.2996926688784,0.7309890919762949,0.26901090802370525,0.18055555555555558,0.4108527131782945,0.7030567685589519,43.67617985502103,39.13925077305216,7.274294114665179
2015,19723,1965.2996926688784,0.7730830562137349,0.2269169437862651,0.13559322033898302,0.3613445378151261,0.5988700564971752,37.60328483803924,33.69493587468951,3.634612460080093
2020,19622,1961.7500933680888,0.7751423027170501,0.2248576972829499,0.13559322033898302,0.33333333333333337,0.5688073394495412,34.91661175039286,29.9994930805495,5.099609672023115
