class,raw_prob_bin,n,mean_raw_prob,mean_calibrated_prob,observed_frequency
farmland,"[0.00, 0.20)",15733,0.002360124367917241,0.03395825638029905,0.03413207906947181
farmland,"[0.20, 0.40)",146,0.2843975556413933,0.30701754385964913,0.3082191780821918
farmland,"[0.40, 0.60)",116,0.5030138996955799,0.30701754385964913,0.3103448275862069
farmland,"[0.60, 0.80)",95,0.706170853793804,0.31488100556995213,0.30526315789473685
farmland,"[0.80, 0.90)",89,0.8507403027122108,0.33164189923885473,0.3146067415730337
farmland,"[0.90, 0.95)",87,0.9250066535892781,0.3876117496807151,0.40229885057471265
farmland,"[0.95, 0.99)",111,0.9732449901432851,0.4452885721542437,0.46846846846846846
farmland,"[0.99, 1.00)",492,0.9986593660619143,0.6765259070501153,0.6666666666666666
green_space,"[0.00, 0.20)",9537,0.005130379928305038,0.0748367830534483,0.07539058404110308
green_space,"[0.20, 0.40)",189,0.29772360743851256,0.40225471445002364,0.4074074074074074
green_space,"[0.40, 0.60)",182,0.5009564159012654,0.4311926605504587,0.45054945054945056
green_space,"[0.60, 0.80)",219,0.7057878382446577,0.4328305291347497,0.3972602739726027
green_space,"[0.80, 0.90)",160,0.8574917619728648,0.474701608718215,0.5125
green_space,"[0.90, 0.95)",165,0.9279000783659747,0.5319148936170214,0.49696969696969695
green_space,"[0.95, 0.99)",362,0.9748733654394066,0.5907172968377685,0.6049723756906077
green_space,"[0.99, 1.00)",6055,0.9996784633982554,0.896152031156862,0.8947976878612717
living,"[0.00, 0.20)",10322,0.006290749267828847,0.13909100275958666,0.1391203255183104
living,"[0.20, 0.40)",273,0.2993990813589532,0.553719008264463,0.5641025641025641
living,"[0.40, 0.60)",221,0.4967147181797731,0.553719008264463,0.5475113122171946
living,"[0.60, 0.80)",244,0.7129858986876844,0.5853744459321366,0.5819672131147541
living,"[0.80, 0.90)",205,0.8545319896954623,0.6518218623481783,0.6341463414634146
living,"[0.90, 0.95)",225,0.9265131553535457,0.6693009643346141,0.68
living,"[0.95, 0.99)",446,0.974945910384421,0.669945355191257,0.679372197309417
living,"[0.99, 1.00)",4933,0.9994277588511586,0.8402374481391649,0.8388404621933915
production,"[0.00, 0.20)",14496,0.003380085431077357,0.05341508423834583,0.05339403973509934
production,"[0.20, 0.40)",197,0.2888245427491088,0.24750893025004703,0.2639593908629442
production,"[0.40, 0.60)",154,0.5037970150282602,0.277471811855766,0.2727272727272727
production,"[0.60, 0.80)",184,0.697217292507362,0.2893982808022923,0.29347826086956524
production,"[0.80, 0.90)",162,0.8541232407233138,0.29307760858292015,0.29012345679012347
production,"[0.90, 0.95)",133,0.9269301427168922,0.29694323144104806,0.2857142857142857
production,"[0.95, 0.99)",229,0.9756563192694341,0.3836750840896582,0.4148471615720524
production,"[0.99, 1.00)",1314,0.9990763861674236,0.5450429533317855,0.5372907153729072
water,"[0.00, 0.20)",16236,0.0007893661311235744,0.013965327847329996,0.014104459226410446
water,"[0.20, 0.40)",48,0.2881839639593268,0.30893397177419357,0.2916666666666667
water,"[0.40, 0.60)",36,0.48763868906252344,0.3290322580645161,0.3611111111111111
water,"[0.60, 0.80)",38,0.7075375462582091,0.329032258064516,0.3157894736842105
water,"[0.80, 0.90)",38,0.8458206905062284,0.329032258064516,0.3157894736842105
water,"[0.90, 0.95)",18,0.9284369124189619,0.3290322580645162,0.2777777777777778
water,"[0.95, 0.99)",44,0.9720429042518481,0.3882046269143043,0.4090909090909091
water,"[0.99, 1.00)",411,0.999382730505701,0.7961940398071784,0.7907542579075426
