grid_id,LST_summer_mean,LST_summer_stdDev,LST_summer_min,LST_summer_max,LST_summer_median
6886,305.3315457166555,1.2393638533876705,303.6141347,308.15668328000004,304.8412038800001
6887,307.7210854344082,0.8032850509938511,306.23575603999996,309.60592376,307.5393375174648
6888,309.3703369741192,1.7903264027334436,306.570722,312.77101028,308.6081078784201
6889,308.7480234847,1.5412651134079356,305.5624061,313.82717846,308.78332649580364
6892,315.4998429687076,1.875095901682652,312.43946234,320.0377208,315.791685455
6894,307.9609266423285,1.3592205114849074,305.65469264,310.18015112,308.32758428
6898,309.27219118685485,1.5971833057357343,306.0921992,312.56592908,309.31956963999994
6900,304.81505756968517,0.75153565436776,303.22789844,306.28019029999996,305.2718744
6902,303.634260095969,1.0963020144564044,302.1443861,304.80189665,304.11145661
6903,308.35921104946965,1.0787094411101463,306.20499386,311.02440206,308.01080559061916
6904,311.61214056890407,1.4827892564924998,307.254326,314.33304541999996,311.98258699999997
6905,307.87226148525036,2.347057800445818,305.64102055999996,312.97609148000004,306.8270735
6906,311.0217810220158,1.0987326687211316,309.04195046,314.22366878,311.0927624600001
6908,306.56628193702073,0.5939661234456908,305.38125104,307.3055963,306.38443990999997
6910,310.0987578772194,0.5738293034260324,308.94795491,311.14745078,310.22800340000003
6915,309.6987905260373,1.2640926398851933,307.43548106000003,312.17969282,309.7611163317818
6916,308.9178233069934,1.0086626613538994,306.59464814,310.57835044999996,308.801834555
6917,311.5399612327383,1.0438537534990073,308.14642921999996,313.50075755,311.6635718
6918,310.4426356350666,1.5639222680991278,307.93451198,314.06985788,310.67166185941915
6919,313.7068457735692,2.0531194224531286,307.56536582,317.51180402,314.00833352
6921,308.012047127174,0.8730256937802215,306.76554913999996,310.98338581999997,307.98236426
6923,310.3227483208962,1.1396756142513418,308.49848527999995,313.19142674,309.87936536
6925,306.3353003881555,2.3232918571071854,297.06008135,307.92596692999996,306.913549406
6927,310.3180542995842,1.4063378116619405,307.72259474,312.50782274,310.4501747
6929,306.3667549502675,0.6448026616430631,304.15418186,307.27483412000004,306.31821577249997
6937,307.51008992435675,1.632021073012193,304.69764704,310.61765768,307.5859775163636
6938,307.9403906601213,1.8531455725062613,305.08046528,312.78468236000003,307.8635947699215
6940,313.7345215116674,1.303560195649492,309.84518516,317.06575241,313.37941784
6942,305.15702902411994,0.6892596869431477,303.9046664,306.55021388,305.06850221
6945,311.01486729952575,1.6853100064486095,307.69354157,315.56865965,311.07168467
6946,309.17215891683196,1.395417883048807,305.9896586,311.69775200000004,308.91216672522165
6949,307.235050146159,1.0278454290150878,305.16591578,309.69137426,307.14836737999997
6950,306.1885294321818,0.5904842140097577,304.9471625,308.00799941,306.08731631428566
6951,305.6408783249896,0.7888368050016898,304.69422901999997,308.75825480000003,305.61289732887116
6953,312.72522490808666,0.9404233730017427,308.65229618,314.1587264,312.36768392
6955,300.0368349359181,0.9084998820413919,297.05495432,301.39413071,300.1108195645454
6959,307.8668157831878,2.5598259806743315,303.78845372,312.50611373000004,307.94989307
6963,308.17565410717657,1.6592252379872994,305.42226728,312.68385077,307.7943731599999
6964,306.3262766831975,0.7900897171678087,304.1610179,307.71575870000004,306.43089390909097
6966,308.22502722820775,0.5627321863322967,306.63224635999995,309.67428415999996,308.47632953221176
6967,303.45858241710783,0.8703563067773212,301.8709445,305.69570888,303.242254124
6968,309.34110616622996,0.6983875062313333,307.85931554,311.42772842,309.2580744938462
6970,312.07191971137195,1.4586580823124564,309.58541564,318.60727943,311.95581251
6972,310.22293886026415,0.8027151961635527,308.08832288,312.381356,310.1373989106711
6973,313.4997680529519,1.3479203663350952,309.53756336000004,316.48639802,313.48594612999995
6975,304.60023347000003,0.0,304.60023347000003,304.60023347000003,304.60023347000003
6976,316.61171330217746,1.564491118868294,313.62209726000003,318.99864272,317.0982236
6978,294.546017324367,3.4247054494751534,289.63101488,298.80498056,292.25776325000004
6979,309.40616863411657,2.4260106324996125,304.04480522,314.2954472,309.42015524717397
6980,305.4495808035738,0.49181175355632295,304.06531334,306.43229219,305.31118162999996
6982,311.69512464896866,2.176938421120982,308.56171865,317.99545385,311.07567236
6987,308.209115433858,1.1217028616479774,306.78605726,312.4155362,307.920156296
6989,308.6211055189955,5.001005596805314,305.54018897000003,329.09205578,307.20002358548385
6990,303.15496981625256,1.108776843821084,297.78299258000004,303.94910066,303.202605092
6996,308.17926532990424,0.5385995165289447,306.09903524000003,309.15816314,308.33783833999996
6997,310.4855354590989,1.4152171195593983,308.30707615999995,313.58791706,310.2650319499999
6998,,,,,
6999,314.70609056416686,1.4365739192221108,313.04445188,318.8926841,314.42227522714967
7004,311.82902886100584,1.4439809261021632,308.52924746,314.26468502,312.30274154
7005,309.4186511034397,0.95338976977917,306.68351666,311.32689683,309.66911272024197
7007,308.8422060663468,2.7096408922314636,305.43935738,315.55327855999997,307.8951907436671
7008,300.315806031196,0.3910225830357444,300.08332004,301.00276742,300.08332004
7009,317.0352695103702,2.1096005509107227,310.46042876,319.12852748,317.78353661
7012,308.78919888169594,2.174554153313166,305.75723324,313.57766300000003,308.05140826400003
7017,311.6705751252001,0.4641833779559487,310.57664144,312.4497164,311.6874979399999
7022,311.9361375297042,1.4094600960581114,309.28121186,314.56547078,311.81054666
7025,316.8910163900628,0.7859359829717729,315.05766566,319.02598688,316.99173113103444
7029,312.2783242670291,1.0152205027806471,309.67770218,313.86135866,312.71290394
7035,309.23181672375,2.6165592690819617,306.06485504,317.04011726,308.331685904
7036,311.09874399499995,0.017090100899532806,311.06883632,311.10301652,311.10301652
7037,313.5983654700458,1.1866373984628082,310.57322342,315.65923718,313.65456845
7039,310.017136707303,1.0140454096786318,307.76019296,313.24611505999997,309.9555966282985
7043,310.3325837671962,1.5742635128635392,307.13127728,315.17387834,310.28739149750004
7048,303.2637078287453,0.593130447943154,301.1873405,303.97131779,303.49792202000003
7063,305.7928702831074,1.1620004817753273,304.0926575,308.27973199999997,306.11225457923155
7065,301.10891144969634,4.943364650196403,290.00699708,304.66517584999997,303.794437558248
7066,310.19900942434265,0.9000537305146776,307.39617383,312.20532797,310.2670865886024
7068,311.38671218,0.0,311.38671218,311.38671218,311.38671218
7069,308.082587455723,1.2097525294638132,302.80064594,309.39742454,308.3881930782594
7072,304.4170786081206,0.4093988507925716,303.5970446,305.66152868,304.4747436833282
7075,309.78256868865475,1.4811716459890958,306.07852712,313.4922125,309.8608103942857
7077,305.53998946373537,0.3276112603998929,304.90614626,306.07681811,305.49575470999997
7081,306.7273890844313,1.6698182018846934,304.94545349,311.45507258,306.38994907888195
7082,303.93310969870606,1.5802813325595053,302.32041413,307.62347216,303.51425256
7083,308.09227156954245,1.440274917342376,305.59316828,310.54246123999997,308.1777398280678
7085,313.21623212270737,1.7803271857341318,311.44481852,318.06894128,312.53630624
7087,307.13118842031867,2.1350636404238936,303.40563548,312.90431306,307.3376402375
7090,308.6574803961245,1.8640891157286614,304.37977118000003,315.3208532,308.48480560777426
