grid_id,LST_mean,LST_stdDev,LST_min,LST_max,LST_median
6886,300.9066666666667,0.1399999999466984,300.72,301.0,301.0
6887,304.0813793103449,0.5,303.84000000000003,304.84000000000003,303.84000000000003
6888,303.82,0.0,303.82,303.82,303.82
6889,304.38,0.0,304.38,304.38,304.38
6892,307.5,0.0,307.5,307.5,307.5
6894,303.172,0.28071337687987225,302.9,303.5,302.94
6898,303.3809677419355,0.13999999999866955,303.11,303.39,303.39
6900,,,,,
6902,,,,,
6903,302.8226666666667,0.791889442345054,301.48,303.33000000000004,303.33000000000004
6904,301.24,0.0,301.24,301.24,301.24
6905,,,,,
6906,304.68,0.0,304.68,304.68,304.68
6908,300.85,0.0,300.85,300.85,300.85
6910,303.54,0.0,303.54,303.54,303.54
6915,305.51454545454544,0.08499999996425364,305.36,305.53,305.53
6916,300.322,0.43000000000869054,299.72,300.58,300.58
6917,309.6,0.0,309.6,309.6,309.6
6918,303.3809677419355,0.13999999999866955,303.11,303.39,303.39
6919,303.15999999999997,0.0,303.15999999999997,303.15999999999997,303.15999999999997
6921,303.96,0.0,303.96,303.96,303.96
6923,303.52,0.0,303.52,303.52,303.52
6925,306.02799999999996,1.3299999999983019,303.90000000000003,306.56,306.56
6927,308.04,0.0,308.04,308.04,308.04
6929,301.4110344827586,0.044999999936877026,301.38,301.47,301.38
6937,302.9,0.0,302.9,302.9,302.9
6938,302.36,0.0,302.36,302.36,302.36
6940,308.4466666666666,0.06999999989539252,308.4,308.54,308.4
6942,303.19066666666663,0.5800000000001204,302.34000000000003,303.5,303.5
6945,306.89,0.0,306.89,306.89,306.89
6946,,,,,
6949,300.54,0.0,300.54,300.54,300.54
6950,301.94689655172414,0.5700000000188102,301.2,302.34000000000003,302.34000000000003
6951,302.26,0.0,302.26,302.26,302.26
6953,307.53999999999996,0.0,307.53999999999996,307.53999999999996,307.53999999999996
6955,301.196551724138,0.13999999999866955,301.1,301.38,301.1
6959,303.79636363636365,0.010000000965082972,303.78,303.8,303.8
6963,302.9236363636364,0.00999999878229566,302.92,302.94000000000005,302.92
6964,303.32,0.0,303.32,303.32,303.32
6966,302.89266666666657,0.2599999999901047,302.39,302.90999999999997,302.90999999999997
6967,300.236,0.05499999971869825,300.16999999999996,300.28000000000003,300.28000000000003
6968,303.61,0.0,303.61,303.61,303.61
6970,303.63,0.28499999995196335,303.44,304.01,303.44
6972,305.0433333333333,0.025000000011641533,305.0,305.04999999999995,305.04999999999995
6973,305.22645161290325,0.5200000000081938,304.22,305.26,305.26
6975,,,,,
6976,307.22,0.0,307.22,307.22,307.22
6978,298.88,0.0,298.88,298.88,298.88
6979,301.8,0.0,301.8,301.8,301.8
6980,,,,,
6982,306.92,0.0,306.92,306.92,306.92
6987,302.46,0.0,302.46,302.46,302.46
6989,306.85999999999996,0.6999999999933477,306.15999999999997,307.56,306.86
6990,300.16,0.4000000000225555,299.76,300.56,300.15999999999997
6996,303.02599999999995,0.10499999999900216,302.9,303.11,303.11
6997,304.99099999999993,1.6060666237842782,303.38,307.40999999999997,304.68
6998,304.94,0.0,304.94,304.94,304.94
6999,306.5973333333333,1.0699999999996845,304.6,306.74,306.74
7004,304.64,0.0,304.64,304.64,304.64
7005,307.25000000000006,0.6699393629352621,306.84000000000003,308.40000000000003,306.93
7007,308.98,0.0,308.98,308.98,308.98
7008,,,,,
7009,304.53090909090906,0.13999999999866955,304.34000000000003,304.62,304.62
7012,302.0468965517241,0.11999999987883105,301.84000000000003,302.08,302.08
7017,304.32,0.0,304.32,304.32,304.32
7022,305.15999999999997,0.0,305.15999999999997,305.15999999999997,305.15999999999997
7025,308.64434782608697,0.058949130408164165,308.56,308.7,308.7
7029,305.11,0.1649999999939323,304.89,305.22,305.22
7035,305.28000000000003,0.0,305.28000000000003,305.28000000000003,305.28000000000003
7036,,,,,
7037,306.97931034482764,1.3319534526437624,305.04,308.42,305.98
7039,303.4,0.0,303.4,303.4,303.4
7043,304.68,0.0,304.68,304.68,304.68
7048,,,,,
7063,302.66,0.0,302.66,302.66,302.66
7065,300.24,0.0,300.24,300.24,300.24
7066,303.5438461538462,0.269999999971586,303.44,303.98,303.44
7068,306.395,1.834889301834343,303.48,307.88,307.88
7069,300.68,0.0,300.68,300.68,300.68
7072,301.28000000000003,0.0,301.28000000000003,301.28000000000003,301.28000000000003
7075,302.8642857142857,0.176320415429993,302.58,303.01,303.01
7077,,,,,
7081,303.58,0.0,303.58,303.58,303.58
7082,301.6422580645161,0.27499999999576674,301.11,301.65999999999997,301.65999999999997
7083,302.9,0.0,302.9,302.9,302.9
7085,307.5733333333334,0.7149999999861442,306.62,308.05,308.05
7087,305.34000000000003,0.0,305.34000000000003,305.34000000000003,305.34000000000003
7090,302.3593103448276,0.18500000002793968,302.27,302.64,302.27
7094,,,,,
7095,,,,,
7097,300.38,0.0,300.38,300.38,300.38
7098,301.42,0.0,301.42,301.42,301.42
7101,301.4172413793104,0.36932370625651706,300.7,301.62,301.58000000000004
7102,299.72,0.0,299.72,299.72,299.72
7104,,,,,
7106,307.24,0.0,307.24,307.24,307.24
7114,307.18,0.0,307.18,307.18,307.18
7115,303.76,0.0,303.76,303.76,303.76
7118,303.92,0.0,303.92,303.92,303.92
7119,,,,,
7122,299.8,0.0,299.8,299.8,299.8
7123,303.28000000000003,0.0,303.28000000000003,303.28000000000003,303.28000000000003
7126,302.18,0.0,302.18,302.18,302.18
7128,302.90999999999997,0.0,302.90999999999997,302.90999999999997,302.90999999999997
7131,306.62,0.0,306.62,306.62,306.62
7132,306.2412903225806,0.7550000000054121,304.78000000000003,306.28999999999996,306.28999999999996
7133,301.53299999999996,0.7050000000029888,301.11,302.52,301.11
7134,306.72,0.0,306.72,306.72,306.72
7136,,,,,
7138,302.50000000000006,0.08000000008090864,302.42,302.58000000000004,302.5
7140,,,,,
7141,301.93,0.0,301.93,301.93,301.93
7142,305.09000000000003,0.0,305.09000000000003,305.09000000000003,305.09000000000003
7144,301.04,0.0,301.04,301.04,301.04
7145,306.85333333333335,0.700000000003742,306.48,307.88,306.48
7147,,,,,
7148,304.5,0.0,304.5,304.5,304.5
7150,305.83000000000004,0.0,305.83000000000004,305.83000000000004,305.83000000000004
7151,307.06774193548387,0.7599999999931683,305.94,307.46,307.46
7156,305.42,0.0,305.42,305.42,305.42
7158,308.02,1.5,306.62,309.62,306.62
7164,308.71000000000004,0.0,308.71000000000004,308.71000000000004,308.71000000000004
7165,300.34000000000003,0.0,300.34000000000003,300.34000000000003,300.34000000000003
7166,300.95965517241376,0.21148285982496048,300.85,301.36,300.87
7167,303.39,0.0,303.39,303.39,303.39
7169,304.68,0.0,304.68,304.68,304.68
7170,306.37419354838715,1.1950000000004481,306.22,308.61,306.22
7171,303.25,0.0,303.25,303.25,303.25
7172,302.6021428571429,0.06500000008847565,302.5,302.63,302.63
7177,305.06,0.0,305.06,305.06,305.06
7181,300.7,0.0,300.7,300.7,300.7
7186,302.08,0.0,302.08,302.08,302.08
7187,303.28000000000003,0.0,303.28000000000003,303.28000000000003,303.28000000000003
7189,304.74,0.0,304.74,304.74,304.74
7190,304.33000000000004,0.2299999999894214,304.1,304.56,304.33000000000004
7193,305.2,0.0,305.2,305.2,305.2
7199,310.34000000000003,0.0,310.34000000000003,310.34000000000003,310.34000000000003
7203,301.36,0.0,301.36,301.36,301.36
7206,311.59000000000003,0.0,311.59000000000003,311.59000000000003,311.59000000000003
7210,303.5975862068965,0.28499999995196335,303.46,304.03,303.46
7213,304.67733333333337,0.04000000022235326,304.6,304.68,304.68
7214,302.94666666666666,0.474999999991422,302.63,303.58,302.63
