year,gaia_year_threshold,built_ratio_threshold,built_grids,ecological_grids,total_grids,built_share,ecological_share,mean_built_ratio,median_built_ratio
2000,16,0.2,4261,15466,19727,0.2159983778577584,0.7840016221422416,0.11959491183805339,0.03333333333333333
2005,21,0.2,6454,13273,19727,0.3271658133522583,0.6728341866477416,0.1816678028121916,0.06611570247933884
2010,26,0.2,8756,10971,19727,0.44385867085720077,0.5561413291427992,0.26218331527547706,0.13953488372093023
2015,31,0.2,10375,9352,19727,0.52592892989304,0.47407107010696,0.3596760788144239,0.2421875
2020,36,0.2,11193,8534,19727,0.567394940943884,0.43260505905611596,0.4263257016525052,0.3488372093023256
